business_id,latitude,longitude,fieldwork_date,city
SA001,-23.533117,-46.733352,2026-03-11,Sao Paulo
SA002,-23.584762,-46.670812,2026-03-19,Sao Paulo
SA003,-23.469146,-46.686563,2026-03-21,Sao Paulo
SA004,-23.646552,-46.741867,2026-03-22,Sao Paulo
SA005,-23.501109,-46.612885,2026-03-06,Sao Paulo
SA006,-23.495359,-46.464009,2026-03-01,Sao Paulo
SA007,-23.533691,-46.509281,2026-03-12,Sao Paulo
SA008,-23.583513,-46.679302,2026-03-10,Sao Paulo
SA009,-23.68659,-46.791354,2026-03-15,Sao Paulo
SA010,-23.865931,-46.641792,2026-03-19,Sao Paulo
SA011,-23.60444,-46.746614,2026-03-03,Sao Paulo
SA012,-23.506551,-46.573354,2026-03-09,Sao Paulo
SA013,-23.574862,-46.645318,2026-03-14,Sao Paulo
SA014,-23.624205,-46.591128,2026-03-21,Sao Paulo
SA015,-23.581202,-46.417949,2026-03-07,Sao Paulo
SA016,-23.719096,-46.690234,2026-03-03,Sao Paulo
SA017,-23.635038,-46.664721,2026-03-08,Sao Paulo
SA018,-23.681943,-46.669373,2026-03-22,Sao Paulo
SA019,-23.480288,-46.660832,2026-03-18,Sao Paulo
SA020,-23.506202,-46.74456,2026-03-04,Sao Paulo
SA021,-23.569512,-46.558992,2026-03-08,Sao Paulo
SA022,-23.514845,-46.483817,2026-03-08,Sao Paulo
SA023,-23.523966,-46.539456,2026-03-15,Sao Paulo
SA024,-23.661837,-46.700236,2026-03-13,Sao Paulo
SA025,-23.584485,-46.758769,2026-03-01,Sao Paulo
SA026,-23.595768,-46.609995,2026-03-01,Sao Paulo
SA027,-23.689241,-46.760158,2026-03-11,Sao Paulo
SA028,-23.50247,-46.624474,2026-03-03,Sao Paulo
SA029,-23.685108,-46.716543,2026-03-07,Sao Paulo
SA030,-23.531819,-46.668052,2026-03-09,Sao Paulo
SA031,-23.469319,-46.722662,2026-03-16,Sao Paulo
SA032,-23.611596,-46.730408,2026-03-05,Sao Paulo
SA033,-23.615677,-46.713656,2026-03-03,Sao Paulo
SA034,-23.484416,-46.750906,2026-03-14,Sao Paulo
SA035,-23.719246,-46.688408,2026-03-23,Sao Paulo
SA036,-23.579515,-46.411254,2026-03-09,Sao Paulo
SA037,-23.516744,-46.387746,2026-03-13,Sao Paulo
SA038,-23.592438,-46.799974,2026-03-17,Sao Paulo
SA039,-23.661632,-46.65085,2026-03-05,Sao Paulo
SA040,-23.510954,-46.397275,2026-03-11,Sao Paulo
AD001,9.041683,38.728173,2026-04-07,Addis Ababa
AD002,8.997634,38.762326,2026-04-02,Addis Ababa
AD003,9.022001,38.794095,2026-04-21,Addis Ababa
AD004,8.989091,38.733167,2026-04-12,Addis Ababa
AD005,8.987854,38.823763,2026-04-23,Addis Ababa
AD006,8.977689,38.776766,2026-04-01,Addis Ababa
AD007,8.936477,38.820843,2026-04-20,Addis Ababa
AD008,9.032763,38.825037,2026-04-06,Addis Ababa
AD009,8.890482,38.753097,2026-04-05,Addis Ababa
AD010,8.863409,38.805078,2026-04-24,Addis Ababa
AD011,8.92126,38.787721,2026-04-24,Addis Ababa
AD012,8.960282,38.791479,2026-04-17,Addis Ababa
AD013,9.025967,38.882083,2026-04-07,Addis Ababa
AD014,8.965572,38.815704,2026-04-17,Addis Ababa
AD015,9.051524,38.731978,2026-04-02,Addis Ababa
AD016,8.873866,38.798013,2026-04-05,Addis Ababa
AD017,9.030519,38.887653,2026-04-02,Addis Ababa
